model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 09.pnml);0;0;0;1;8;4;4;4;0.4649584172162093;1.3802775690976143;TRUE;1.0E-7;Log6 (from noID imported from (data/javert/Figure 09.pnml));0;0;0;2;40;10;10;10;0.4204555957765258;1.3383501322423068;TRUE;1.0E-7;Log6 (from noID imported from (data/javert/Figure 09.pnml));0;0;0;2;40;10;10;10;0.4204555957765258;1.3383501322423068;TRUE;1.0E-7
7f212c67-eb99-4525-868a-5fe9fc34c329;0;0;0;0;10;5;5;5;0.22318030296820782;1.1673039782614196;TRUE;1.0E-7;Log6 (from noID imported from (data/javert/Figure 09.pnml));0;0;0;0;40;5;5;5;0.22318030296820754;1.1673039782614194;TRUE;1.0E-7;Log6 (from noID imported from (data/javert/Figure 09.pnml));0;0;0;1;40;10;10;10;0.42045559577672137;1.3383501322424882;TRUE;1.0E-7
noID imported from (data/javert/Figure 09.pnml);0;0;0;0;4;4;4;4;0.4649584172162093;1.3802775690976143;TRUE;1.0E-7;MdM;0;1;0;0;5;5;5;5;0.2231803029682059;1.167303978261418;TRUE;1.0E-7;7f212c67-eb99-4525-868a-5fe9fc34c329;0;0;0;0;5;5;5;5;0.22318030296820862;1.1673039782614203;TRUE;1.0E-7
