model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 09.pnml);0;0;0;0;8;4;4;4;0.4649584172162093;1.3802775690976143;TRUE;1.0E-7;Log4 (from noID imported from (data/javert/Figure 09.pnml));0;0;0;1;50;10;10;10;0.414170354987689;1.3325321626386595;TRUE;1.0E-7;Log4 (from noID imported from (data/javert/Figure 09.pnml));0;0;0;1;50;10;10;10;0.414170354987689;1.3325321626386595;TRUE;1.0E-7
3d4a30a7-5b93-48e1-9a7e-301db7873595;0;0;1;0;10;5;5;5;0.22318030296820754;1.1673039782614194;TRUE;1.0E-7;Log4 (from noID imported from (data/javert/Figure 09.pnml));0;0;0;1;50;5;5;5;0.22318030296820782;1.1673039782614196;TRUE;1.0E-7;Log4 (from noID imported from (data/javert/Figure 09.pnml));0;0;0;1;50;10;10;10;0.41417035498507565;1.3325321626362456;TRUE;1.0E-7
noID imported from (data/javert/Figure 09.pnml);0;1;0;0;4;4;4;4;0.4649584172162093;1.3802775690976143;TRUE;1.0E-7;MdM;0;0;0;1;5;5;5;5;0.2231803029682089;1.1673039782614205;TRUE;1.0E-7;3d4a30a7-5b93-48e1-9a7e-301db7873595;0;0;0;0;5;5;5;5;0.2231803029682081;1.1673039782614199;TRUE;1.0E-7
