model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 09.pnml);0;0;0;0;8;4;4;4;0.4649584172162093;1.3802775690976143;TRUE;1.0E-7;Log4 (from noID imported from (data/javert/Figure 09.pnml));0;0;0;1;5;9;9;9;0.1625357554153465;1.1192526665798033;TRUE;1.0E-7;Log4 (from noID imported from (data/javert/Figure 09.pnml));0;0;0;1;5;9;9;9;0.1625357554153465;1.1192526665798033;TRUE;1.0E-7
3364da74-236e-43b5-b91c-c187dd53d738;0;0;0;1;15;4;4;4;0.4649584172162093;1.3802775690976143;TRUE;1.0E-7;Log4 (from noID imported from (data/javert/Figure 09.pnml));0;0;0;1;5;9;9;9;0.16253575541299214;1.1192526665779767;TRUE;1.0E-7;Log4 (from noID imported from (data/javert/Figure 09.pnml));0;0;0;1;5;9;9;9;0.16253575541299214;1.1192526665779767;TRUE;1.0E-7
noID imported from (data/javert/Figure 09.pnml);0;0;0;0;4;4;4;4;0.4649584172162093;1.3802775690976143;TRUE;1.0E-7;MdM;0;0;0;0;1;1;1;1;-Infinity;0.0;TRUE;1.0E-7;3364da74-236e-43b5-b91c-c187dd53d738;0;0;0;0;4;4;4;4;0.4649584172162093;1.3802775690976143;TRUE;1.0E-7
