model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 09.pnml);0;0;0;0;8;4;4;4;0.4649584172162093;1.3802775690976143;TRUE;1.0E-7;Log6 (from noID imported from (data/javert/Figure 09.pnml));0;0;0;2;30;10;10;10;0.42045559577659597;1.3383501322423719;TRUE;1.0E-7;Log6 (from noID imported from (data/javert/Figure 09.pnml));0;0;0;2;30;10;10;10;0.42045559577659597;1.3383501322423719;TRUE;1.0E-7
b915c7ce-a279-4f81-9479-3bbab176708e;0;0;0;0;15;4;4;4;0.4649584172162093;1.3802775690976143;TRUE;1.0E-7;Log6 (from noID imported from (data/javert/Figure 09.pnml));0;0;0;1;30;10;10;10;0.4204555957764025;1.3383501322421925;TRUE;1.0E-7;Log6 (from noID imported from (data/javert/Figure 09.pnml));0;0;0;1;30;10;10;10;0.4204555957764025;1.3383501322421925;TRUE;1.0E-7
noID imported from (data/javert/Figure 09.pnml);0;0;0;0;4;4;4;4;0.4649584172162093;1.3802775690976143;TRUE;1.0E-7;MdM;0;0;0;0;4;4;4;4;0.4649584172162093;1.3802775690976143;TRUE;1.0E-7;b915c7ce-a279-4f81-9479-3bbab176708e;0;1;0;0;4;4;4;4;0.4649584172162093;1.3802775690976143;TRUE;1.0E-7
